M3 Nv,M3 Ne,G3 Nv,G3 Ne,Laplacian Determinant,Zero Eigenvalue Multiplicity,n - rank(Lap),M1 Edge,M2 Edge,M1 Vertex,M2 Vertex,Incidence Matrix Row Sum,Incidence Matrix Column Sum,Laplacian Matrix Row Sum,Laplacian Matrix Column Sum,Laplacian Eigenvalue 1,Laplacian Eigenvalue 2,Laplacian Eigenvalue 3,Laplacian Eigenvalue 4,Laplacian Eigenvalue 5,Laplacian Eigenvalue 6,Laplacian Eigenvalue 7,Laplacian Eigenvalue 8
8,10,7,5,8,0,0,1,3,6,7,5,5,9,9,0.198062264195162,0.527166091004744,1,1.53740157702523,1.55495813208737,2,3.24697960371747,4.93543233197003
8,10,8,6,8,0,0,1,3,6,9,2,2,4,4,0.139194146888296,0.527166091004744,1,1.53740157702523,1.74589831163495,2,4.11490754147676,4.93543233197003
8,10,8,8,5.32907051820075e-15,1,1,1,4,1,7,0,0,6,6,6.82030053370597e-16,0.763932022500211,1,1.26794919243112,2,3,4.73205080756888,5.23606797749979
8,10,8,10,0,1,1,1,4,1,10,0,0,0,0,7.78023478975598e-16,0.339769749911489,1.07632566353229,2,3,3.35619275164562,4.83189394494563,5.39581788996497
8,10,8,5,0,1,1,1,4,6,7,5,5,5,5,0,0.527166091004744,1,1.53740157702523,2,2,3,4.93543233197003
8,10,8,7,0,1,1,1,4,6,10,5,5,7,7,-1.77528349562767e-16,0.527166091004744,1,1.53740157702523,2,3,4,4.93543233197003
8,10,7,7,14,0,0,2,1,2,7,1,1,3,3,0.196217052828407,0.717971649278891,1,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,2,1,2,8,0,0,6,6,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101717,5.51291091255454
8,10,7,5,14,0,0,2,1,6,7,5,5,9,9,0.357037596762463,0.730924944949315,1,1,1.63017205151137,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,2,1,6,8,4,4,4,4,0.253935194094271,0.579209334247198,1,1.36961333677454,1.69521980400014,2,4.08894118577319,5.01308114511066
8,10,8,8,14,0,0,2,2,2,8,0,0,2,2,0.186969464513497,0.495974259399942,0.749792629560178,1.35034125720066,1.68074970171028,3.73750828376428,4.38326937897884,5.41539502487231
8,10,8,8,14,0,0,2,2,2,9,-2,-2,6,6,0.186969464513497,0.495974259399942,0.749792629560178,1.35034125720066,1.68074970171028,3.73750828376428,4.38326937897884,5.41539502487231
8,10,8,6,14,0,0,2,2,6,8,4,4,8,8,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928155
8,10,8,6,14,0,0,2,2,6,9,2,2,4,4,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928155
8,10,7,7,14,0,0,2,3,2,7,1,1,3,3,0.196217052828407,0.71797164927889,0.999999999999999,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,2,3,2,9,-2,-2,6,6,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101717,5.51291091255454
8,10,7,5,14,0,0,2,3,6,7,5,5,9,9,0.357037596762463,0.730924944949315,1,1,1.63017205151137,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,2,3,6,9,2,2,4,4,0.253935194094271,0.579209334247198,1,1.36961333677454,1.69521980400014,2,4.08894118577319,5.01308114511066
8,10,8,7,9,0,0,2,4,2,7,1,1,7,7,0.122596254299964,0.697224362268006,1,1,1.52354796026921,3,4.302775637732,5.35385578543083
8,10,8,9,9,0,0,2,4,2,10,1,1,1,1,0.0771021318815273,0.428681465506653,0.768080112328979,1.45402972119975,3,3.31884363132146,4.44857211140752,5.50469082635411
8,10,8,5,9,0,0,2,4,6,7,5,5,5,5,0.214566198039555,0.679415034833913,1,1,1.6875786473034,2.45865859389612,3,4.95978152592701
8,10,8,7,9,0,0,2,4,6,10,5,5,7,7,0.0980586991691507,0.553453780474464,1,1.46848747708757,1.8855492986083,3,3.98622161623426,5.00822912842626
8,10,7,7,14,0,0,3,1,3,7,1,1,3,3,0.196217052828407,0.717971649278891,1,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,3,1,3,8,0,0,6,6,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101717,5.51291091255454
8,10,7,5,14,0,0,3,1,6,7,5,5,9,9,0.357037596762462,0.730924944949314,1,1,1.63017205151137,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,3,1,6,8,4,4,4,4,0.253935194094271,0.579209334247199,1,1.36961333677454,1.69521980400014,2,4.08894118577319,5.01308114511066
8,10,8,8,14,0,0,3,2,3,8,0,0,2,2,0.186969464513497,0.495974259399942,0.749792629560178,1.35034125720066,1.68074970171028,3.73750828376428,4.38326937897884,5.41539502487231
8,10,8,8,14,0,0,3,2,3,9,-2,-2,6,6,0.186969464513497,0.495974259399942,0.749792629560178,1.35034125720066,1.68074970171028,3.73750828376428,4.38326937897884,5.41539502487231
8,10,8,6,14,0,0,3,2,6,8,4,4,8,8,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928154
8,10,8,6,14,0,0,3,2,6,9,2,2,4,4,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928154
8,10,7,7,14,0,0,3,3,3,7,1,1,3,3,0.196217052828407,0.71797164927889,0.999999999999999,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,3,3,3,9,-2,-2,6,6,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101717,5.51291091255454
8,10,7,5,14,0,0,3,3,6,7,5,5,9,9,0.357037596762464,0.730924944949315,1,1,1.63017205151137,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,3,3,6,9,2,2,4,4,0.253935194094271,0.579209334247199,1,1.36961333677454,1.69521980400014,2,4.08894118577319,5.01308114511066
8,10,8,7,9,0,0,3,4,3,7,1,1,7,7,0.122596254299964,0.697224362268006,1,1,1.52354796026921,3,4.302775637732,5.35385578543083
8,10,8,9,9,0,0,3,4,3,10,1,1,1,1,0.0771021318815273,0.428681465506653,0.768080112328979,1.45402972119975,3,3.31884363132146,4.44857211140752,5.50469082635411
8,10,8,5,9,0,0,3,4,6,7,5,5,5,5,0.214566198039555,0.679415034833913,1,1,1.6875786473034,2.45865859389612,3,4.95978152592701
8,10,8,7,9,0,0,3,4,6,10,5,5,7,7,0.0980586991691505,0.553453780474464,1,1.46848747708757,1.8855492986083,3,3.98622161623426,5.00822912842626
8,10,7,5,16,0,0,4,1,4,7,-1,-1,5,5,0.33894603234054,1,1,1,1.57362965905111,2,2.88061514425286,5.2068091643555
8,10,8,6,16,0,0,4,1,4,8,-2,-2,8,8,0.261282669963718,0.63874163958305,1,1.4900200715621,1.68432400656627,2,3.55916115088211,5.36647046144275
8,10,7,5,16,0,0,4,1,6,7,5,5,9,9,0.33894603234054,1,1,1,1.57362965905111,2,2.88061514425286,5.2068091643555
8,10,8,6,16,0,0,4,1,6,8,4,4,4,4,0.261282669963718,0.63874163958305,1,1.4900200715621,1.68432400656627,2,3.55916115088211,5.36647046144275
8,10,8,6,16,0,0,4,2,4,8,-2,-2,4,4,0.300034376147745,0.559929129264221,1,1.35432249535999,1.77973699079375,2,3.78153350656665,5.22444350186765
8,10,8,6,16,0,0,4,2,4,9,-4,-4,8,8,0.300034376147745,0.559929129264221,1,1.35432249535999,1.77973699079375,2,3.78153350656665,5.22444350186765
8,10,8,6,16,0,0,4,2,6,8,4,4,8,8,0.300034376147745,0.559929129264221,1,1.35432249535999,1.77973699079375,2,3.78153350656664,5.22444350186765
